eplenmean,eprewmax,eprewmean,eprewmin,explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
100.9375,-0.019035833308796078,-0.5468404073108386,-1.8869746898753315,-0.0035849809646606445,3963,1,5.675770282745361,-1.941251277923584,2000,0.5816448926925659
100.85625,0.006810724155381319,-0.5747823317879918,-1.8869746898753315,0.040364623069763184,4121,50,5.683108329772949,0.7693846821784973,100000,0.421603262424469
95.8475,0.04235049819251398,-0.6722113265770421,-1.853842631759018,0.08148568868637085,4239,100,5.673418045043945,-0.3364987075328827,200000,0.2984994053840637
97.72125,0.02408764913732311,-0.6138044317369465,-1.8184007331373346,0.10304456949234009,4273,150,5.638549327850342,0.06072697415947914,300000,0.2581888735294342
93.6025,0.06982532538952925,-0.7110805116847152,-1.8243088674132575,0.128074049949646,4263,200,5.609488010406494,-0.5786848068237305,400000,0.1898467242717743
102.35,0.03386532603475448,-0.5288708749982989,-1.8073045928425588,0.19569623470306396,4361,250,5.605512619018555,0.29815593361854553,500000,0.2727966904640198
91.44,0.03868812540767588,-0.7504068070744059,-1.8466667516764903,0.11522716283798218,4282,300,5.570076942443848,-0.019918987527489662,600000,0.19089654088020325
99.81875,0.04951194609670344,-0.5580796517107648,-1.8560922138286977,0.11329847574234009,4354,350,5.556385040283203,0.03576405346393585,700000,0.18187063932418823
90.1275,0.07684909068517881,-0.7301357053870311,-1.8072269894709636,0.17154783010482788,4284,400,5.556282997131348,-0.5247877240180969,800000,0.1262306421995163
96.51625,0.041458230454961435,-0.5962146399785851,-1.8374314261195512,0.18074733018875122,4310,450,5.552969932556152,-0.1124475970864296,900000,0.11038144677877426
84.44375,0.02021011989661059,-0.9692778129056446,-1.839393347645576,0.14316773414611816,4326,500,5.545080661773682,-0.9466397762298584,1000000,0.13430018723011017
87.74,0.023525115930701314,-0.862618986866214,-1.80397102912652,0.15391194820404053,4276,550,5.542969226837158,0.46656334400177,1100000,0.11246325820684433
95.8375,0.07917786992913484,-0.6544092645233053,-1.7899809427496942,0.16857802867889404,4305,600,5.510290145874023,-0.013479802757501602,1200000,0.15851017832756042
86.66875,0.07380770306065679,-0.8638580894150764,-1.8401991020726658,0.15255123376846313,4270,650,5.49979829788208,0.06440331786870956,1300000,0.10078978538513184
85.8275,0.07362223412852982,-0.8740343907795537,-1.853268326290702,0.14002519845962524,4287,700,5.49808931350708,0.42174676060676575,1400000,0.14633606374263763
88.76625,0.1054336045838396,-0.8240635309541389,-1.828539049248934,0.20827490091323853,4258,750,5.484338760375977,-0.17168240249156952,1500000,0.13322533667087555
90.21,0.07618388436402876,-0.7679034532651288,-1.8220392028514398,0.157720148563385,4261,800,5.466419219970703,-0.1392471194267273,1600000,0.09305870532989502
81.355,0.10514145085889104,-0.9461774776022144,-1.7975893446384323,0.1601073145866394,4244,850,5.455931663513184,0.028110403567552567,1700000,0.09374334663152695
80.07875,0.054806972280010545,-1.0101530280898663,-1.8593144047933818,0.10015666484832764,4245,900,5.441450119018555,-0.5830042362213135,1800000,0.17491546273231506
84.0875,0.0367331509348154,-0.8890153746045601,-1.7889585206247816,0.2204720377922058,4234,950,5.441651344299316,0.17821283638477325,1900000,0.1015797033905983
106.0775,0.04654471958859762,-0.47684862299592756,-1.692706595952625,0.1338566541671753,4245,1000,5.42703914642334,0.09113781154155731,2000000,0.1454675942659378
69.38,0.040812543600435056,-1.3052635432835262,-1.8212114268413135,0.10691553354263306,4231,1050,5.42508602142334,0.025872601196169853,2100000,0.1266198456287384
77.3625,0.0451594943236311,-1.0983563436467885,-1.8006370248262284,0.1308475136756897,4220,1100,5.4153289794921875,0.35951319336891174,2200000,0.09418869018554688
84.39375,0.04376275225652259,-0.8916254581358956,-1.7610494807680945,0.14713317155838013,4228,1150,5.396072864532471,-0.013687096536159515,2300000,0.12641963362693787
93.88875,0.06744858568809922,-0.6879141611044021,-1.8135540406596813,0.11747199296951294,4217,1200,5.371085166931152,0.1702359914779663,2400000,0.16813510656356812
88.25375,0.0637788990254303,-0.8148334855091499,-1.823658115802109,0.127521812915802,4226,1250,5.361284255981445,-0.2896721065044403,2500000,0.15072700381278992
86.77375,0.03204336444028714,-0.8227823222010439,-1.7993958918257902,0.19911086559295654,4215,1300,5.339759349822998,-0.0009106902871280909,2600000,0.09233015030622482
92.92625,0.06377173156009117,-0.7022848387645141,-1.687092233437031,0.1920318603515625,4232,1350,5.336705684661865,0.21142132580280304,2700000,0.14963467419147491
85.175,0.037846791469812374,-0.9184133906998381,-1.8001815076792538,0.17749762535095215,4214,1400,5.324963092803955,0.2777818441390991,2800000,0.1082051545381546
