misc/approxkl,misc/clipfrac,misc/explained_variance,misc/fps,misc/nupdates,misc/policy_entropy,misc/policy_loss,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,misc/value_loss,stats/eplenmean,stats/eprewmax,stats/eprewmean,stats/eprewmin
0.0005572182,0.000625,0.0007579922676086426,542,1,5.6835423,11.631859,125,3.6852057091891766,2000,293.8494,96.3125,-0.028336268887169655,-0.7310834111281439,-1.8205421468022267
0.0017157604,0.011125,0.7083568274974823,2781,50,5.7995462,-0.110874735,6250,40.027717841789126,100000,0.32741207,112.24875,0.030322304686571155,-0.3342721636834575,-1.8984710371438913
0.0022789733,0.0175,0.223086416721344,2717,100,5.8344603,3.7902617,12500,76.41784657724202,200000,78.920296,118.99625,0.011923491687352444,-0.20534012879300761,-1.9533330068926515
0.0025868756,0.021125,0.5949767231941223,2548,150,5.8578715,1.111815,18750,113.02123948931694,300000,24.799204,120.42625,0.021990253939072283,-0.16598474574687969,-1.8830410358109821
0.0034289476,0.039750002,0.5352311432361603,2746,200,5.612234,-0.3548355,25000,149.25516844168305,400000,15.775567,119.9875,0.02397264912942549,-0.18598080751923468,-1.9145753879478278
0.0005398559,0.001125,0.6089329123497009,2834,250,5.626721,0.59937614,31250,185.9271877128631,500000,13.1792145,119.97625,0.04625989982104299,-0.19443594180782298,-1.8940454375325193
0.010898987,0.040250003,0.8171194493770599,1881,300,5.5569625,2.909118,37500,236.67563062161207,600000,38.789444,120.8375,0.03577059039743248,-0.16002664174977363,-1.8170855748273433
0.0038501201,0.03825,0.8967811912298203,2264,350,4.9674993,1.7584362,43750,282.5900718215853,700000,16.49369,123.97125,0.02476263443657753,-0.09470024562379362,-1.0391131537273526
0.78872633,0.06125,0.9358418211340904,2462,400,4.529428,-0.03971611,50000,328.1523561049253,800000,16.899525,123.31875,0.0533490213495443,-0.09505072600199953,-1.9154735009456574
0.11594298,0.13225,0.49535924196243286,2119,450,3.8009546,-0.4641791,56250,373.58227095380425,900000,12.9733095,124.44875,0.12201491560143725,-0.023036035725558773,-1.839234278897067
0.051213145,0.1675,0.8658872842788696,2523,500,3.2968597,-0.077400655,62500,418.56352176330984,1000000,0.6806249,124.88875,0.14487635581504305,0.02883233065554721,-1.0494402554846258
0.011965054,0.151,0.9126605913043022,2201,550,2.972415,-0.026390754,68750,463.3761923406273,1100000,0.3048848,124.69,0.16556980970671278,0.05309432304947026,-1.0594588373953748
0.01508987,0.17412499,0.5484369397163391,2549,600,2.504966,-0.04923006,75000,506.68921216391027,1200000,6.1344357,125.44,0.1983371987863084,0.09976255836881257,-0.9915890533930659
0.02755402,0.260375,0.7739375978708267,2192,650,2.0444403,1.0265155,81250,551.5665317494422,1300000,15.018187,125.81375,0.21836607909700775,0.14624000411129667,-0.8513731070250523
0.020960905,0.21237499,0.8869542703032494,2482,700,1.6031524,0.26793125,87500,595.7274932134897,1400000,2.0727916,125.70125,0.2350432399571985,0.17327645487257665,-0.7810497784397901
0.01598814,0.206875,0.9104197472333908,2589,750,1.4033881,-0.20411442,93750,638.8393122330308,1500000,0.2711043,125.80125,0.253028008602634,0.19605491916442205,-0.8174719926313111
0.053297184,0.37824997,0.9673624113202095,2261,800,0.9286097,-0.08463523,100000,682.0796211697161,1600000,0.12272599,125.76375,0.27299639801868797,0.20929343786641938,-0.8027662773519109
0.11897319,0.5165,0.8456336706876755,2742,850,0.5399372,1.2471172,106250,723.4202031772584,1700000,11.525823,125.965,0.278963871501396,0.2253944588112421,-0.7582589353211424
0.033142053,0.34724998,0.8997476994991302,2285,900,0.032096297,-0.115017034,112500,764.9723116699606,1800000,0.44925362,125.91125,0.2857876991877953,0.2346522610175472,-0.8457110692235481
0.022089167,0.22325,0.9631392434239388,2196,950,-0.45057705,-0.10185221,118750,806.8394303768873,1900000,0.19621202,125.8425,0.3038556259258638,0.25165005209264474,-0.682228557313929
0.24726883,0.414125,0.935324490070343,2759,1000,-0.7494968,-0.06250713,125000,848.279160540551,2000000,0.4756574,125.9825,0.3247803588654547,0.27619880306512207,-0.6181062887351116
0.027067658,0.28850004,0.9743342716246843,2295,1050,-1.2084997,-0.08496124,131250,889.9159221295267,2100000,0.21213414,125.94,0.3350886240487446,0.2910872240555029,-0.817607105608498
0.03767917,0.33999997,0.987836298532784,2582,1100,-1.5808412,0.09550139,137500,933.3668999504298,2200000,0.09167968,126.0,0.33771078294608,0.30729583850818337,0.19719672642637787
0.027289202,0.305375,0.9936459441669285,2220,1150,-1.9615699,0.04054205,143750,974.8716471325606,2300000,0.05762274,125.9875,0.3434013020760715,0.3101414313666869,-0.6022649267437906
