misc/approxkl,misc/clipfrac,misc/explained_variance,misc/fps,misc/nupdates,misc/policy_entropy,misc/policy_loss,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,misc/value_loss,stats/eplenmean,stats/eprewmax,stats/eprewmean,stats/eprewmin
0.011420358,0.148125,0.00023180246353149414,3544,1,5.674903,11.617598,125,0.5641795769333839,2000,290.69818,89.8125,-0.03902172542855144,-0.747357332106134,-1.6578469102071374
0.0046058376,0.048625,0.9207828119397163,4789,50,6.2769365,-0.08813204,6250,21.242913600057364,100000,0.18887872,111.76875,0.003807192311003762,-0.3859105508719183,-1.846046211775954
0.013820691,0.18124999,0.9430100545287132,4905,100,6.3524523,-0.11621361,12500,42.27957335114479,200000,0.15049113,122.785,0.0033729955849101157,-0.13532033943412014,-1.8741910901961818
0.017925976,0.21862498,-0.0053212642669677734,4720,150,6.3131986,0.4879727,18750,63.18815917894244,300000,23.697378,124.48375,0.042651015262593836,-0.0545831465218945,-1.0296220616246363
0.014900786,0.205625,0.6678151786327362,4854,200,5.854752,1.5386813,25000,83.81647046282887,400000,30.502441,124.6075,0.1377589078292648,0.0035792173034110085,-0.9868055729389588
0.031901352,0.320125,0.8407903462648392,4754,250,5.752364,0.61722535,31250,104.4633293505758,500000,5.8270802,125.125,0.19197481232705713,0.08394695355923862,-0.9123779185704638
0.018035123,0.2315,0.8015329539775848,5002,300,5.8869877,0.19755156,37500,124.96543019451201,600000,5.0916457,124.415,0.20915077613913508,0.08209233907023414,-1.721114349020958
0.015044388,0.20462501,0.9134946539998055,5031,350,5.8882704,-0.068543926,43750,145.38395218364894,700000,0.29429752,125.29125,0.2065266985724966,0.11628481600021033,-0.9500987726372183
0.015328315,0.206625,0.920038066804409,4896,400,5.9504385,-0.05107411,50000,165.841756246984,800000,0.32654077,125.5675,0.22007500675398106,0.13849641315542324,-0.8853854611870894
0.024936942,0.275375,0.7719493508338928,3016,450,5.7940717,0.6178225,56250,203.32577191479504,900000,5.874585,125.5675,0.2338482872591217,0.14754095720650126,-0.8859246891559215
0.022741316,0.283625,0.9475897587835789,3011,500,5.5381308,-0.02180969,62500,237.36567221581936,1000000,0.19856949,125.77125,0.24529222091443334,0.17397201134462845,-0.8789300847608299
0.013026259,0.184875,0.976227417588234,3091,550,5.1738753,-0.167828,68750,271.4735575597733,1100000,0.12474338,125.52125,0.24872525939762585,0.18928769651724062,-0.8568542127968918
0.06971948,0.47899997,0.6829936802387238,3103,600,5.030116,1.589584,75000,305.5086599625647,1200000,24.628496,125.765,0.26251125902104877,0.20603542559101548,-0.7522374628814508
0.015056833,0.197125,0.9794911984354258,2849,650,4.776494,-0.12912644,81250,339.5843640565872,1300000,0.1015498,125.85375,0.2742200147299169,0.2157253266988593,-0.7998919656599316
0.022659123,0.268375,0.9817799143493176,2974,700,4.121016,-0.0523751,87500,373.69104604795575,1400000,0.09066292,126.0,0.29133006965487196,0.24398785384214086,0.13007823398797705
0.03287472,0.333875,0.9814434628933668,2951,750,3.721376,0.021393511,93750,407.68261012248695,1500000,0.12846081,125.95375,0.3033285826159765,0.2560510814885539,-0.7343732338822633
0.087953456,0.442375,0.8653305172920227,2810,800,3.5225587,2.2277522,100000,441.6836207676679,1600000,33.593582,125.92875,0.31333504657136385,0.26406080190977776,-0.7110794074280908
0.038417026,0.36324996,0.9944250360131264,2946,850,3.1063347,-0.04018,106250,475.6047232951969,1700000,0.05583371,125.885,0.3019658386323452,0.2602770357437931,-0.7800233603793731
0.043396637,0.38549998,0.9904399802908301,2932,900,2.7720308,-0.02020538,112500,509.5761390477419,1800000,0.07571078,125.975,0.3226391439959058,0.28600042735866965,-0.6899077090082963
0.041780528,0.35412496,0.996251275530085,2982,950,2.3297505,-0.046762142,118750,546.2761325631291,1900000,0.040758394,126.0,0.32839768370878686,0.2997819874111266,0.21772185400669772
0.06509912,0.45737502,0.9943863870576024,2891,1000,2.1456888,-0.03170153,125000,579.8403767105192,2000000,0.053272195,126.0,0.3325358823889344,0.30545184000062087,0.25122633729289967
0.0933213,0.5367501,0.9922740682959557,2839,1050,2.0830593,0.04172225,131250,614.4313491880894,2100000,0.08581234,126.0,0.3362807759369512,0.3072342246748698,0.2440124863658001
0.05935826,0.46225,0.9961542370729148,2972,1100,1.8601356,-0.012134993,137500,650.5513298548758,2200000,0.04017589,126.0,0.3329521085969457,0.30619140353281227,0.24573202094987032
0.045775756,0.380125,0.9914812743663788,2949,1150,1.5072751,-0.096257485,143750,684.430303953588,2300000,0.096579954,126.0,0.33636404389617347,0.3100733829839603,0.23340262072480217
