misc/approxkl,misc/clipfrac,misc/explained_variance,misc/fps,misc/nupdates,misc/policy_entropy,misc/policy_loss,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,misc/value_loss,stats/eplenmean,stats/eprewmax,stats/eprewmean,stats/eprewmin
0.00015889503,0.0,0.0005865693092346191,681,1,1.411578,1.5403006,125,2.9333937391638756,2000,1.2303729,125.0,-0.08321946966676491,-0.10473037983418426,-0.12960178031706235
0.0013724259,0.004625,-0.01668238639831543,5241,50,0.82928836,-0.08002915,6250,21.636790985241532,100000,0.009580053,125.0,-0.021448454063281736,-0.0583570466641992,-0.13612852318377236
0.00015913158,0.0,-0.015913009643554688,5420,100,0.42730084,-0.041754365,12500,40.480306688696146,200000,0.0018335625,125.0,-0.010115665467319243,-0.020890419854915115,-0.04140996260912617
0.00035964145,0.0,-0.06748068332672119,5257,150,0.12881272,-0.018339632,18750,59.32360850460827,300000,0.00054617884,125.0,-0.005476816553337,-0.010307481882089811,-0.017277328377414226
0.0010627401,0.001375,-0.06421363353729248,5230,200,-0.12778275,-0.0035702188,25000,78.15878430195153,400000,0.00018726142,125.0,-0.003010626145260658,-0.005922667459840445,-0.010016906254733676
0.00016184387,0.0,-0.0025702714920043945,5227,250,-0.35847673,-0.004263503,31250,96.96380576118827,500000,6.0866114e-05,125.0,-0.0021758328272012887,-0.0036086303023495415,-0.005999659396762759
2.1288766e-05,0.0,0.010570943355560303,5371,300,-0.56985396,-0.003291217,37500,115.76816290430725,600000,2.4415904e-05,125.0,-0.0012054445366696245,-0.0023285616722460408,-0.003595761396336944
0.0018185084,0.010749999,-0.021836519241333008,5282,350,-0.77406025,-0.0006924728,43750,134.5362043082714,700000,1.5349637e-05,125.0,-0.0009563036870442129,-0.0015346815611833604,-0.0024632779731137496
2.1580989e-05,0.0,-0.013357758522033691,5308,400,-0.9710798,-0.0001318008,50000,153.3670304529369,800000,7.912635e-06,125.0,-0.000650485479794835,-0.0010362683913268816,-0.001522937106405039
0.0006278693,0.0,-0.047574758529663086,5347,450,-1.1643237,-0.00018487516,56250,172.1410956326872,900000,3.3913327e-06,125.0,-0.0003972103060207243,-0.0007022259677810128,-0.001149010381323192
0.0002057401,0.0,0.03459048271179199,5301,500,-1.3550242,-0.000475357,62500,190.92885883152485,1000000,1.420108e-06,125.0,-0.0002919153918461801,-0.00047228735157326784,-0.0007375937660681624
0.00011122741,0.0,0.11198818683624268,5289,550,-1.5392174,-0.00014171048,68750,209.70758739300072,1100000,4.879096e-07,125.0,-0.00019179752742802062,-0.00032545514080660644,-0.0005212453092037163
0.0027198226,0.019875,-0.00405120849609375,5389,600,-1.7332231,-0.00013409516,75000,228.4629104807973,1200000,2.8908283e-07,125.0,-0.00014318952852408916,-0.00022394749171488152,-0.00037459143727769514
2.4503252e-05,0.0,-0.028368115425109863,5362,650,-1.9175949,-0.0001389412,81250,247.1973953023553,1300000,1.5643792e-07,125.0,-9.15567371059531e-05,-0.00015291360019241974,-0.0002423044974728551
4.5495348e-05,0.0,-0.07000315189361572,5299,700,-2.1094174,-0.0001560552,87500,265.91590000130236,1400000,5.6881806e-08,125.0,-6.164253360972286e-05,-0.0001043733897763914,-0.0001696749453608581
0.0014002605,0.0012500001,-0.12287342548370361,5355,750,-2.302472,-0.00017114657,93750,284.685775032267,1500000,3.8749565e-08,125.0,-4.168632527579795e-05,-7.165031115821166e-05,-0.00011186756716702797
0.0019434511,0.012125,-0.03611254692077637,5372,800,-2.4875138,-0.00010260991,100000,303.43973235599697,1600000,1.9471882e-08,125.0,-2.9780329052812687e-05,-4.923609380443377e-05,-8.069825459836159e-05
0.0033383407,0.023250002,0.015684545040130615,5317,850,-2.672475,-3.619292e-05,106250,322.19603285193443,1700000,1.6426366e-08,125.0,-1.8405586464683566e-05,-3.388953888079446e-05,-5.824141868318012e-05
0.0017418723,0.009125,-0.4475424289703369,4943,900,-2.85907,-0.00012160026,112500,340.9763966370374,1800000,1.585857e-08,125.0,-1.4251948258492476e-05,-2.3515947165566625e-05,-3.8847386388424046e-05
0.002258226,0.014,-0.26079535484313965,5377,950,-3.0437858,-1.7329152e-05,118750,359.75780385546386,1900000,6.1284644e-09,125.0,-9.548763186792508e-06,-1.618138210309972e-05,-2.5966683487968685e-05
0.003901558,0.051374998,-0.47612011432647705,5277,1000,-3.2143867,3.5442336e-05,125000,378.51990637741983,2000000,7.903474e-09,125.0,-6.875731189906541e-06,-1.1302599013745356e-05,-1.7606080578252618e-05
0.0015961828,0.008875,-0.8028972148895264,5192,1050,-3.3820753,-7.203357e-05,131250,397.3132596164942,2100000,9.076896e-09,125.0,-4.6998908106013434e-06,-8.100293045507348e-06,-1.3384484497160567e-05
0.0028830913,0.033,-0.9267408847808838,5345,1100,-3.556922,-9.638668e-07,137500,416.1222527194768,2200000,1.5007013e-08,125.0,-3.583618615099496e-06,-5.755808342427179e-06,-9.533142809367291e-06
0.0016008401,0.0050000004,-1.0151100158691406,5298,1150,-3.7104795,-4.5351524e-05,143750,434.9158708713949,2300000,1.9546935e-08,125.0,-2.4706236605687453e-06,-4.148324929490712e-06,-6.4938197175817005e-06
0.0017889544,0.013625,-1.0455093383789062,5263,1200,-3.7321453,-1.7859766e-05,150000,453.65484678559005,2400000,7.4396766e-08,125.0,-2.0024137661441e-06,-3.4158932053317832e-06,-7.455304712904641e-06
0.0035751066,0.040125,-0.967115044593811,5408,1250,-3.8764794,-2.019453e-05,156250,472.46431104652584,2500000,4.409076e-09,125.0,-1.8270940666656308e-06,-3.100677873611781e-06,-6.425506783799552e-06
0.0018634239,0.015000001,-1.349581003189087,5326,1300,-4.0357804,-1.2713667e-05,162500,491.23843176849186,2600000,3.493007e-09,125.0,-1.3125841911667565e-06,-2.2147205225321843e-06,-3.2839949652277744e-06
0.0016383143,0.005125,-1.4309096336364746,5322,1350,-4.1901193,-2.6413367e-05,168750,509.97885162755847,2700000,1.4634224e-09,125.0,-1.043927975200441e-06,-1.6162937342985946e-06,-2.4351357849765748e-06
0.002903705,0.032375,-1.392763376235962,5342,1400,-4.3351316,2.6845993e-05,175000,528.7691857926548,2800000,3.248441e-08,125.0,-7.45230704811664e-07,-1.3135936655801003e-06,-2.075462975194706e-06
0.003606672,0.0425,-1.8736224174499512,5366,1450,-4.404122,2.7024255e-06,181250,547.541465388611,2900000,2.3297726e-09,125.0,-6.036608331894557e-07,-9.875355244069974e-07,-1.5676154072067926e-06
0.00013115678,0.0,-1.662032127380371,5291,1500,-4.518155,-6.2598037e-06,187500,566.2977193854749,3000000,2.965856e-09,125.0,-5.291983589378388e-07,-8.429334822554393e-07,-1.324036597838743e-06
0.0035816547,0.04575,-1.3403911590576172,5230,1550,-4.628801,-2.4902474e-05,193750,585.0327725689858,3100000,3.3953027e-09,125.0,-4.563674703890826e-07,-9.019544531958838e-07,-1.7935884975473128e-06
0.004836046,0.06825,-2.3109400272369385,5364,1600,-4.76215,-1.87408e-05,200000,603.8173606619239,3200000,4.544269e-09,125.0,-3.7844116862657155e-07,-7.485730262012971e-07,-1.5688337345133232e-06
0.008096132,0.104624994,-1.7929391860961914,5054,1650,-4.7946467,-9.5738815e-06,206250,622.5795270446688,3300000,1.8139302e-09,125.0,-3.047456676240513e-07,-6.1707743295716e-07,-1.4757091658004292e-06
0.006003204,0.079375,-3.39754581451416,5334,1700,-4.849216,1.887947e-05,212500,641.3613482154906,3400000,1.7931308e-08,125.0,-2.3233969927750922e-07,-4.144945214842718e-07,-6.94832325566071e-07
0.002805525,0.026,-3.736166000366211,5397,1750,-4.859879,-1.1265975e-05,218750,660.1820426192135,3500000,6.694299e-09,125.0,-2.4600511557822797e-07,-3.8276362267212036e-07,-6.436702900047377e-07
0.0023222636,0.029875001,-1.5071160793304443,5321,1800,-4.915536,5.406921e-06,225000,678.8958788681775,3600000,4.601616e-09,125.0,-2.255983059968936e-07,-3.537337281364832e-07,-5.687176157448815e-07
0.0037837394,0.054750003,-2.423445224761963,5314,1850,-4.9875584,2.9562585e-05,231250,697.5898310244083,3700000,2.0073008e-09,125.0,-1.829273624182015e-07,-3.592746219062282e-07,-6.809668056121292e-07
0.004202668,0.052999996,-3.0151381492614746,5319,1900,-5.442522,-0.00015792967,237500,716.3557122442871,3800000,6.935589e-09,125.0,-8.201332705996021e-08,-2.4149498379270674e-07,-4.1602924964231856e-07
6.5520886e-05,0.0,-3.2340407371520996,5242,1950,-5.4742618,-1.4138191e-06,243750,735.1334147565067,3900000,9.0775437e-10,125.0,-7.482766623772105e-08,-1.1581464279023838e-07,-1.7085884749947564e-07
0.003675742,0.043125,-4.514508247375488,5418,2000,-5.485358,2.1862554e-06,250000,753.8662374150008,4000000,1.3368209e-09,125.0,-7.416352599952994e-08,-1.253739423816916e-07,-2.003943239241887e-07
0.002966234,0.034375,-6.10601806640625,5346,2050,-5.5008626,4.2529195e-05,256250,772.6801229324192,4100000,1.6221053e-08,125.0,-6.228906664878459e-08,-1.1603197806098189e-07,-1.760983679912491e-07
0.002707294,0.023000002,-2.363846778869629,5244,2100,-5.533533,2.6933865e-06,262500,791.4256758000702,4200000,3.1595584e-09,125.0,-8.407066625771618e-08,-1.6194195739040967e-07,-2.7046934054983217e-07
0.0037127314,0.036375,-1.7884855270385742,5353,2150,-5.5469623,-4.5668007e-06,268750,810.1845902055502,4300000,1.6368331e-09,125.0,-6.724854821845764e-08,-1.3322156578509473e-07,-2.2661447067515986e-07
0.0044023865,0.051625,-1.614384412765503,5469,2200,-5.5694504,-3.149006e-07,275000,828.9025180079043,4400000,4.9272e-09,125.0,-9.316477127385747e-08,-1.454338081084515e-07,-2.427284140017528e-07
0.0030208176,0.026750002,-4.24715518951416,5369,2250,-5.553854,-6.440571e-06,281250,847.6592308934778,4500000,2.9791993e-09,125.0,-8.916412557152801e-08,-1.6687936293908098e-07,-2.833205047892756e-07
0.03614798,0.354625,-2.8043055534362793,5351,2300,-5.6029873,1.1157236e-05,287500,866.4041558802128,4600000,4.633112e-09,125.0,-1.0515551457408929e-07,-2.563482666065925e-07,-4.4059149361168703e-07
