eplenmean,eprewmax,eprewmean,eprewmin,explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
125.0,-3.970389912594366,-6.422078533145077,-9.13100992117987,3.8683414459228516e-05,923,1,1.4189425706863403,0.007827489636838436,2000,0.5018566250801086
125.0,-2.521173832034151,-6.103159747628679,-9.453012107518523,0.027182579040527344,7498,50,1.4146138429641724,0.28867200016975403,100000,0.24769626557826996
125.0,-2.9774389361098925,-6.0134332634332335,-9.425069243817289,0.027818918228149414,7921,100,1.4066379070281982,-0.10378674417734146,200000,0.2694643437862396
125.0,-3.0463660969105253,-5.999092754170445,-9.508440904694778,0.028876841068267822,8072,150,1.4030768871307373,-0.1781328171491623,300000,0.24684414267539978
125.0,-3.0303647458905476,-5.924228748563658,-9.357805627322126,0.03003460168838501,8141,200,1.3929132223129272,-0.3086729049682617,400000,0.2581076920032501
125.0,-3.056239457242629,-5.972694378685228,-9.446866270298342,0.03241056203842163,8196,250,1.3885492086410522,0.14149990677833557,500000,0.19847756624221802
125.0,-2.9285323969541626,-5.871216754381435,-9.51113308607684,0.03486037254333496,8233,300,1.386319875717163,0.015090863220393658,600000,0.21694433689117432
125.0,-3.0188596281618754,-5.661064763031199,-9.249234057042646,0.03516000509262085,8255,350,1.3788480758666992,-0.057033225893974304,700000,0.16997110843658447
125.0,-2.9819090399021038,-5.338165577672372,-9.15241692875713,0.03698456287384033,8272,400,1.3661390542984009,-0.07814903557300568,800000,0.1972828507423401
125.0,-2.992292630720113,-6.037497415144093,-9.338034280426262,0.03632962703704834,8282,450,1.3677375316619873,0.10291188955307007,900000,0.2125275582075119
125.0,-2.570756149576033,-5.120466868809221,-9.093171309435354,0.04677450656890869,8296,500,1.3670936822891235,0.12930512428283691,1000000,0.12100800126791
125.0,-2.1584341313735194,-5.307972572110364,-8.824218169282467,0.028064250946044922,8305,550,1.3629648685455322,0.04506777226924896,1100000,0.2116638571023941
125.0,-1.1989598452704109,-4.615113347523119,-8.883873804114303,0.03781604766845703,8312,600,1.3470464944839478,-0.15241748094558716,1200000,0.10435432195663452
125.0,-0.02375716757135185,-3.2255383374839783,-8.499167197495913,0.04701948165893555,8318,650,1.3255220651626587,-0.029605397954583168,1300000,0.028129151090979576
125.0,-0.015429246010775213,-2.089107044277772,-6.98626212730952,0.0509222149848938,8324,700,1.3100489377975464,-0.271361768245697,1400000,0.05763690918684006
125.0,-0.00854275042451597,-1.740028680473078,-6.840717323023189,0.05300050973892212,8331,750,1.2995412349700928,0.06799960136413574,1500000,0.024313462898135185
125.0,-0.00946083826093723,-1.636905091105258,-5.434843969837246,0.05773437023162842,8335,800,1.2883307933807373,-0.19266629219055176,1600000,0.03586157411336899
125.0,-0.014188127220588083,-1.7620471643285307,-5.378236209308405,0.05575966835021973,8335,850,1.2739684581756592,0.14721828699111938,1700000,0.027431221678853035
125.0,-0.01002548909853713,-1.5589152354528677,-5.38195724226137,0.06223338842391968,8336,900,1.2664374113082886,-0.292171448469162,1800000,0.08448126167058945
125.0,-0.008809586335272878,-1.5654609373739043,-5.59824030877431,0.0547945499420166,8339,950,1.258493423461914,-0.17445486783981323,1900000,0.048566337674856186
125.0,-0.008375117159438351,-1.5451548905828887,-5.675519090205946,0.05542093515396118,8342,1000,1.252035140991211,0.2863089442253113,2000000,0.04424114525318146
125.0,-0.007767614361052104,-1.4140641637350568,-4.786398637412673,0.06220930814743042,8344,1050,1.247020959854126,-0.015030241571366787,2100000,0.01573534868657589
125.0,-0.006721406601299508,-1.3752373623060254,-4.572137530335305,0.06623274087905884,8346,1100,1.2458314895629883,-0.07278335839509964,2200000,0.01054232195019722
125.0,-0.0059284583055335275,-1.2798139540309197,-3.888651846845688,0.06861799955368042,8347,1150,1.2423300743103027,-0.08798331022262573,2300000,0.018985414877533913
125.0,-0.008808156385588847,-1.3830852823920454,-4.449819280659509,0.06520521640777588,8348,1200,1.2352420091629028,-0.004542798735201359,2400000,0.008894865401089191
125.0,-0.006214642934727698,-1.5513649466406179,-7.558461208347077,0.060494303703308105,8350,1250,1.2299929857254028,-0.30362018942832947,2500000,0.06071515008807182
125.0,-0.00704165134633707,-1.4046758458092299,-4.28035509624895,0.06669622659683228,8353,1300,1.2230230569839478,0.06985890120267868,2600000,0.01706361398100853
125.0,-0.006857077399491567,-1.3620927527193714,-3.8926724702294044,0.063789963722229,8354,1350,1.221203327178955,0.008601289242506027,2700000,0.009012901224195957
125.0,-0.006615097160563611,-1.3180171349066898,-4.366682484542773,0.06619524955749512,8355,1400,1.2162503004074097,-0.15997114777565002,2800000,0.03442084789276123
